Date,coach,block,kwh,percent_used,miles_travelled
3/10/2020,2607,0,1.790356114,101.5,173.0177016
3/10/2020,2610,0,1.896559085,132,207.6073453
3/10/2020,2611,0,1.875442805,121.5,196.3461917
3/10/2020,2602,0,1.880498276,60,94.69958804
3/11/2020,2601,0,2.289245137,109.5,151.9718593
3/11/2020,7504,7776/7776,1.65,22,48
3/11/2020,7504,7776/7777,1.96,36,66
3/11/2020,7505,7773,1.37,19,50
3/11/2020,7502,7774,1.61,46,103
3/11/2020,7502,7774,1.9,39,74
3/11/2020,7505,7773,1.8,47,94
3/11/2020,2603,0,1.731661204,112.5,196.3098008
3/11/2020,2604,0,1.580690593,26,59.15143065
3/11/2020,2610,0,1.947047148,134,226.7782468
3/11/2020,2609,0,1.89396521,110.2211862,185.5756134
3/11/2020,2607,0,1.626517482,101.5,187.0575837
3/11/2020,2606,0,1.805846459,34,62.2792206
3/11/2020,2605,0,1.763507367,66.5,121.1425276
3/11/2020,2602,0,1.896720117,126.5,207.6476055
3/11/2020,2611,0,2.028411813,127.5,187.6081028
3/12/2020,7505,7773,1.8,25,50
3/12/2020,7502,7774,1.95,40,74
3/12/2020,7502,7774,1.68,48,103
3/12/2020,7504,7776/7777,1.96,36,66
3/12/2020,7504,7776/7776,1.88,25,48
3/12/2020,7505,7773,1.95,51,94
3/12/2020,2601,0,2.216713415,131,183.6555764
3/12/2020,2603,0,2.024361343,111,168.2346658
3/12/2020,2611,0,1.927052695,90.5,147.4248079
3/12/2020,2610,0,1.933183446,119.5,191.0582595
3/12/2020,2609,0,1.982089181,166.7788138,202.1981845
3/12/2020,2607,0,1.869548386,96.5,160.3271209
3/12/2020,2605,0,2.281618035,98,149.0532354
3/12/2020,2604,0,2.088711764,103,145.9293787
3/12/2020,2602,0,2.218839872,85,115.2674704
3/13/2020,2612,0,1.816403558,83,136.340627
3/13/2020,2605,0,2.235863568,101.5,148.7832061
3/13/2020,7502,7774,1.8,37,74
3/13/2020,7504,7776/7776,1.25,16,46
3/13/2020,7505,7773,1.72,45,94
3/13/2020,2610,0,1.91159767,110,184.7878639
3/13/2020,2607,0,1.909480258,121,194.7772881
3/13/2020,2611,0,2.006276,114.5,171.1472998
3/13/2020,2604,0,1.881373042,92,144.0711246
3/13/2020,7504,7776/7777,1.53,28,66
3/13/2020,2603,0,1.676415366,55.5,109.6880903
3/13/2020,2602,0,1.909437325,101,165.4980166
3/13/2020,2601,0,2.079677015,119,165.2629891
3/13/2020,7505,7773,1.44,20,50
3/13/2020,7502,7774,1.5,43,103
3/13/2020,2606,0,1.649916483,61,114.9384905
3/15/2020,2606,0,1.688851446,75.5,152.0805993
3/15/2020,2611,0,1.664089387,60,121.6157267
3/15/2020,2607,0,1.754775411,97.5,175.2954869
3/15/2020,2601,0,1.87745218,114.5,187.5320628
3/16/2020,2605,0,2.055188067,91,145.2436956
3/16/2020,2611,0,1.829549739,100.5,169.2486317
3/16/2020,2610,0,1.861117419,112.5,190.935406
3/16/2020,2607,0,1.794546545,115,187.9212897
3/16/2020,7502,7774,2.19,45,74
3/16/2020,2609,0,2.069179615,111.5,170.6737093
